Date,USS3,RSS3,Filed Latex,Cup Lump
5January 2021,57.00,59.93,50.00,38.10
6January 2021,58.16,60.59,51.00,38.50
7January 2021,57.70,61.72,52.00,38.65
8January 2021,58.59,62.39,52.50,39.45
12January 2021,56.10,59.21,52.00,38.30
13January 2021,57.26,59.89,51.50,38.30
14January 2021,57.19,59.74,51.00,38.80
15January 2021,56.62,61.52,51.00,39.00
18January 2021,57.52,61.08,49.00,39.50
19January 2021,56.80,60.83,48.50,39.50
20January 2021,56.40,60.29,48.00,39.70
21January 2021,56.40,59.35,47.00,39.50
22January 2021,55.55,57.85,46.00,39.50
25January 2021,53.59,55.39,42.00,38.80
26January 2021,52.60,55.68,42.00,38.15

